property_name,location,bedrooms,bathrooms,price,size
2 BEDROOM APARTMENT IN (SEEB),Seeb,3,3,350,170.0
4 BEDROOM RENOVATED DETACHED VILLA,Azaiba,5,5,950,340.0
6 BEDROOM DETACHED VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,5,5,950,350.0
2 BEDROOM APARTMENT IN (BOSHER),Bausher,3,3,475,120.0
4 BEDROOM DETACHED VILLA IN (NIZWA),Nizwa,6,6,600,400.0
MADINAT AL ILAM | EXCELLENT 4+1 BR TOWNHOUSE,"Madinat As Sultan Qaboos, Muscat•",6,6,650,300.0
AL KHUWAIR | WELL MAINTAINED 2 BHK FLAT,"Al Khuwair, Muscat•",2,2,280,105.0
Elegant 4 BHK Villa for rent @ Qurum,"Qurum, Muscat•",5,5,650,300.0
ANSAB | 8 BEDROOM VILLA,"Ansab, Muscat•",9,9,400,300.0
ADV905*4BHK Villa for rent in Madinat Illam in a complex,"Qurum, Muscat•",4,4,750,300.0
ADV906**4BHK Villa in a comples in shatti qurum,"Qurum, Muscat•",4,4,1900,300.0
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,"Azaiba, Muscat•",2,,2310,440.0
*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,"Bosher, Muscat•",4,4,650,350.0
4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,"Azaiba, Muscat•",5,5,750,439.0
2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,"Muscat Hills, Muscat•",2,2,430,119.0
"2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities","The Wave (Almouj), Muscat•",3,3,1250,109.0
2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,"Qurum, Muscat•",3,3,525,119.0
1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,"Qurum, Muscat•",2,2,400,89.0
54 SQM Office for Rent in Muscat Hills,"Muscat Hills, Muscat•",2,,297,54.0
31.87 S	QM Shop in Azaiba – Commercial Use – Excellent Location,"Azaiba, Muscat•",2,,480,31.87
BOSHER | BRAND NEW 3+1 BR TOWNHOUSES,"Bosher, Muscat•",4,4,850,300.0
QURUM | SPACIOUS 6 BR COMPOUND VILLA,"Qurum, Muscat•",5,5,1000,300.0
QURUM | 6 BR COMPOUND VILLA,"Qurum, Muscat•",6,6,650,300.0
محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,"Al Khoud, Muscat•",2,,160,16.0
فيلا راقية جديدة للايجار في المعبيلة  villa for rent,"Al Maabilah, Muscat•",7,7,500,408.0
shop for rent in seeb souq,"Al Seeb, Muscat•",2,,100,25.0
2bhk in darsait free wifi (B1577),"Darsait, Muscat•",2,2,160,95.0
2bhk flat in almumtaz free wifi (B3434),"Ruwi, Muscat•",2,2,220,100.0
SR-HK-595 Fully furnished Townhouse for rent in Almouj .,"The Wave (Almouj), Muscat•",3,3,800,200.0
محلات للايجار في العامرات,"Al Amarat, Muscat•",2,,280,48.0
MADINAT QABOOS | MODERN 3 BR APARTMENT,"Madinat As Sultan Qaboos, Muscat•",2,2,800,125.0
MADINAT SULTAN QABOOS | BEAUTIFUL 1 BR APARTMENT,"Madinat As Sultan Qaboos, Muscat•",2,2,500,85.0
"Branded Residence, spacious apartment with Golf Course View","The Wave (Almouj), Muscat•",5,5,2500,264.0
ADC803**145sqm  Offices for rent in Ghubra north,"Al Ghubrah, Muscat•",2,,725,145.0
ADA602** 2 Bedrooms apartments for rent in Khuwair,"Al Khuwair, Muscat•",3,3,350,110.0
ADV407**5BHK brand new villa in a complex in al hail south,"Al Hail, Muscat•",6,6,550,325.0
ADC701***Shop for Rent in New Commercial Building – 150 SQM,"Bosher, Muscat•",2,,1250,150.0
Studio room near Al Mouj free wifi,"The Wave (Almouj), Muscat•",1,1,150,45.0
VILLA FOR RENT NEAR CROWNE PLAZA 4 BEDROOMS,"Qurum, Muscat•",6,6,3000,1436.0
محلات للايجار في موقع مميز بالموالح 11 shop for rent in Al Mawaleh 11,"Al Mawaleh, Muscat•",2,,200,29.6
beautiful And spacious villa in Mabelah for rent,"Al Maabilah, Muscat•",12,12,800,400.0
LUXURY OFFICE SPACES AT AFFORDABLE PRICES NOW FOR RENT!,"Al Khuwair, Muscat•",2,,250,15.0
All Inclusive Serviced Office Spaces for Rent - Al Khuwair Bait Eteen,"Al Khuwair, Muscat•",2,,150,10.0
BRAND NEW FULY FIRNISHED OFFICE SPACES FOR RENT - AL KHUWAIR !!,"Al Khuwair, Muscat•",2,,250,60.0
BUDGET FRIENDLY FULLY FURNISHED SERVICED OFFICES FOR RENT - AL KHUWAIR,"Al Khuwair, Muscat•",2,,100,10.0
one room in souq alseeb,"Al Seeb, Muscat•",1,1,100,65.0
Shop for rent in seeb sooq (B291),"Al Seeb, Muscat•",2,,100,25.0
shop in Al hail south محل  الحيل الجنوبية,"Al Hail, Muscat•",2,,180,28.0
3bhk Luxury in wadi kabir free WiFi,"Al Wadi Al Kabir, Muscat•",2,2,250,95.0
2bhk luxury in wadi kabir free wifi(B2525),"Al Wadi Al Kabir, Muscat•",2,2,230,100.0
25Sqm Shop in almarat (B7820),"Al Amarat, Muscat•",2,,80,30.0
لإيجار ارض المسفاه  400sqm land for rent in Al-Masfa,"Misfah, Muscat•",2,,320,400.0
200sqm office in mabail free Wifi (B1772),"Al Maabilah, Muscat•",2,,400,200.0
30 sqm Shop in mabila (B11356),"Al Maabilah, Muscat•",2,,100,30.0
2bhk in mbd free fiber internet,"Ruwi, Muscat•",2,2,180,95.0
168 sqm commercial property in alkhoud (B572),"Al Khoud, Muscat•",2,,420,168.0
158 SQM shop in mabil 3محل ارضي المعبيله,"Al Maabilah, Muscat•",2,,900,158.0
Beautiful 4+1 BR Villa Available for Rent in Azaiba,"Azaiba, Muscat•",6,6,630,300.0
High-end villa for rent in Al-Azaiba,"Azaiba, Muscat•",5,5,630,350.0
AZAIBA | BEAUTIFUL 4+1 BR VILLA,"Azaiba, Muscat•",5,5,630,300.0
"ADV901**A beautiful, Maintained Villa 4BHK+Maid for rent in Qurum in a","Qurum, Muscat•",5,5,700,365.0
ADW02***Well-Maintained 2BHK Fully Furnited Flat in The Wave – Sea Vie,"The Wave (Almouj), Muscat•",3,3,700,110.0
ADV936** 4bhk + Maid's villa for rent in Qurum,"Qurum, Muscat•",5,5,1200,420.0
ADV937** 5bhk + Maid's villa for rent in Qurum,"Qurum, Muscat•",6,6,1600,450.0
ADV904**3BHK+Maid Brand new villa in Madinat Illam,"Qurum, Muscat•",4,4,1050,350.0
Furnished Office for Rent Seeb مكتب للإيجار مؤثث في سكوير الخوض السيب,"Al Seeb, Muscat•",2,,140,100.0
Furnished Office for Rent Avenues Mall Ghoubra مكتب للإيجار في الغبرة,"Bosher, Muscat•",2,,150,100.0
ADW05**Beautiful & Spacious fully Furnished 2+1BHK Apartment for Rent,"The Wave (Almouj), Muscat•",3,3,1200,165.0
RV05 - 4BHK GROUNDFLOOR VILLA FOR RENT IN AL KHOUD,"Al Khoud, Muscat•",4,4,400,600.0
Brand New 2 BHK Apartments in Bausher – Book in Advance & Save!,"Bosher, Muscat•",2,2,325,120.0
Brand New Spacious 5 BHK Villa for Rent – Seeb,"Al Seeb, Muscat•",6,6,650,220.0
Prime Brand new Warehouse for Rent in Khazaen Economic City,"Muscat - Other, Muscat•",2,,1800,600.0
Prime Open Land & Yard for Rent in Jifnain – Ideal for Logistics,"Muscat - Other, Muscat•",2,,3060,3400.0
Large retail space avaliable at Suqoon building in Azaiba,"Azaiba, Muscat•",2,,2316,386.0
Taminat - Bausher - 2-bedroom apartment,"Bosher, Muscat•",3,3,425,140.0
"Prime Location for Your Business – Wafa Walk, Salalah","Salalah, Dhofar•",2,,600,70.0
3bhk flat for rent in MQ,"Madinat As Sultan Qaboos, Muscat•",3,3,475,150.0
مكتب للإيجارمؤثث في سكوير الخوض السيب Office for Rent Furnished,"Al Khoud, Muscat•",2,,140,100.0
Office for Rent in Avenues Mall Ghubrah Bawshar Khuwair - مكتب للايجار,"Al Ghubrah, Muscat•",2,,150,100.0
MADINAT AL ILAM | SPACIOUS 4+1 BEDROOM TOWNHOUSE,"Madinat As Sultan Qaboos, Muscat•",6,6,650,300.0
one room in darsait free wifi(B3222),"Darsait, Muscat•",1,1,85,35.0
MADINAT AL ILAM | MODERN OPULENT 7+2 BR VILLA FOR RENT,"Madinat As Sultan Qaboos, Muscat•",12,12,2500,500.0
Excellent 4+1 BR BR Townhouses for Rent in Madinatl Al Illam,"Madinat As Sultan Qaboos, Muscat•",5,5,650,300.0
BOSHER AL MUNA | MODERN 3+1BR TOWNHOUSE WITH PRIVATE POOL,"Bosher, Muscat•",5,5,800,300.0
Beautiful 4 BR Compound Villa Available for Rent in Al Qurum,"Qurum, Muscat•",5,5,1800,400.0
Apartment for Rent \ Sale  in Al Qurum,"Qurum, Muscat•",3,3,320,130.0
MQ | EXCELLENT 5+1 BR VILLA,"Madinat As Sultan Qaboos, Muscat•",6,6,850,300.0
AL MOUJ  FULLY FURNISHED 2BHK APARTMENT WITH FREE WIFI FOR RENT,"The Wave (Almouj), Muscat•",2,2,849,180.0
QURUM | DELUXE 2BHK APARTMENT FOR RENT,"Qurum, Muscat•",2,2,449,145.0
WADI KABIR | 1300 SQM WAREHOUSE WITH OFFICE,"Al Wadi Al Kabir, Muscat•",2,,2499,1300.0
GHALA | 2200 SQM WAREHOUSE IN PRIME LOCATION,"Ghala, Muscat•",2,,3999,2200.0
AL MOUJ | MARINA AND SEA VIEW 2 BHK APARTMENT IN JUMAN,"The Wave (Almouj), Muscat•",2,2,1299,135.0
MADINAT AL ILAM | FULLY FURNISHED 5+1BR COMPOUND VILLA,"Madinat As Sultan Qaboos, Muscat•",7,7,1400,640.0
MADINAT SULTAN QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL,"Madinat As Sultan Qaboos, Muscat•",6,6,1550,425.0
AL MOUJ | 2BHK FULL MARINA VIEW WITH SPACIOUS OPEN BALCONY,"The Wave (Almouj), Muscat•",2,2,999,115.0
MADINAT QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL,"Madinat As Sultan Qaboos, Muscat•",6,6,1550,325.0
